user_id,active_month,avg_month_logins_amount,days_since_last_login,frecuency_score_last_active_month,is_churn,avg_month_fiat_payment_volumen,avg_month_fiat_payment_tx_amount,avg_month_crypto_payment_volumen,avg_month_earn_volumen,avg_month_earn_tx_amount,avg_month_fiat_cashin_volumen,avg_month_fiat_cashin_tx_amount,avg_month_crypto_cashin_volumen,avg_month_crypto_cashin_tx_amount,avg_month_fiat_cashout_volumen,avg_month_fiat_cashout_tx_amount,avg_month_crypto_cashout_volumen,avg_month_crypto_cashout_tx_amount,total_avg_tx_count,is_engaged
user_08515,2,1.1,97,8.91,1,0.0,1,0.0,0.0,0,21.87,0,0.0,0,21.7,1,0.0,0,2,True
user_08517,2,2.9,176,54.64,1,0.0,0,0.42,0.0,0,0.0,0,0.0,1,0.4,0,0.0,0,1,True
user_08518,2,7.9,306,4.47,1,283.19,10,0.0,0.0,0,301.9,3,0.0,0,5.69,0,0.0,0,13,True
user_08524,5,17.3,1,0.0,0,79.75,4,0.0,1.18,33,94.99,7,10.36,0,0.0,0,0.0,0,44,True
user_08534,2,4.3,274,37.82,1,1.29,0,0.0,0.0,0,66.28,8,0.0,0,68.6,5,0.0,0,13,True
user_08538,2,5.0,137,114.99,1,0.0,0,10.1,0.0,1,0.0,0,9.41,2,9.3,3,0.0,0,6,True
user_08542,6,16.3,6,0.0,0,7.78,4,0.0,0.03,7,67.59,26,0.0,0,62.15,19,0.0,1,57,True
user_08549,4,13.3,00:00:00,0.0,0,47.78,7,0.12,0.01,5,126.68,11,0.0,0,73.59,16,0.0,0,39,True
user_08552,2,2.7,181,5.04,1,0.0,1,0.0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0,2,True
user_08554,4,5.6,2,0.0,0,30.1,1,0.06,0.0,1,39.11,3,0.0,0,7.42,2,0.0,0,7,True
user_08561,2,,,0.0,1,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,1,2,True
user_08562,7,9.7,89,51.0,1,0.0,0,3.39,0.06,3,77.24,6,0.0,0,82.82,10,0.0,0,19,True
user_08564,2,,,0.0,1,0.0,0,0.0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,0,1,True
user_08565,2,,,0.0,1,0.0,0,0.0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0,1,True
user_08566,11,14.3,5,0.0,0,0.0,0,145.82,0.0,0,82.71,2,0.0,1,74.79,7,0.0,0,10,True
user_08571,2,1.0,334,5.55,1,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,True
user_08575,3,6.5,116,59.79,1,0.0,0,0.0,0.0,0,7.92,3,0.0,1,7.51,6,0.0,1,11,True
user_08576,4,7.0,2,0.0,0,0.0,0,0.04,0.02,8,8.01,1,0.0,0,9.06,2,0.0,0,11,True
user_08581,2,1.9,180,50.55,1,0.0,0,1.36,0.0,0,0.0,1,0.0,0,0.39,0,0.0,0,1,True
user_08590,7,5.5,45,38.33,1,0.0,0,0.0,0.18,16,66.84,1,0.0,0,71.28,2,0.0,0,19,True
user_08595,2,3.1,48,10.95,1,0.0,0,0.51,0.0,0,0.0,0,0.0,0,0.49,0,0.0,0,0,True
user_08600,2,10.7,193,208.87,1,0.0,0,0.0,0.0,0,123.92,17,0.0,0,114.14,19,0.0,0,36,True
user_08606,8,14.5,54,31.68,1,6.75,1,0.0,0.2,8,213.33,18,0.0,1,201.89,35,0.0,1,64,True
user_08608,6,2.2,8,29.8,1,0.0,0,4.19,0.0,1,0.0,0,4.06,1,3.8,2,0.0,0,4,True
user_08611,4,12.0,00:00:00,0.0,0,88.97,4,0.0,8.57,10,434.34,21,0.0,0,199.74,11,0.0,0,46,True
user_08617,4,13.2,1,0.0,0,0.0,0,10.18,0.01,5,11.54,2,0.14,0,9.97,3,0.0,1,11,True
user_08618,4,7.7,2,0.0,0,0.0,0,0.19,0.0,12,40.15,6,0.0,0,44.16,8,0.0,0,26,True
